Date,AAPL,GS,JNJ,JPM,KO,MSFT,NVDA,TSLA,WMT,XOM
2019-01-02,37.46920394897461,144.7537384033203,103.79100799560547,80.83650970458984,37.34159851074219,94.19316101074219,3.3730525970458984,20.674667358398438,27.913776397705078,49.664756774902344
2019-01-03,33.73699951171875,142.63323974609375,102.14171600341797,79.68767547607422,37.11085891723633,90.72796630859375,3.169262409210205,20.02400016784668,27.770231246948242,48.90220642089844
2019-01-04,35.177215576171875,147.29486083984375,103.8559799194336,82.62540435791016,37.850830078125,94.9476547241211,3.3723084926605225,21.179332733154297,27.943681716918945,50.7052116394043
2019-01-07,35.09891891479492,148.11109924316406,103.18978118896484,82.68284606933594,37.35750961303711,95.06876373291016,3.550842046737671,22.33066749572754,28.27263641357422,50.96889877319336
2019-01-08,35.76799392700195,147.5641326904297,105.58649444580078,82.52694702148438,37.77922821044922,95.758056640625,3.4624428749084473,22.356666564941406,28.470020294189453,51.33948516845703
2019-01-09,36.37539291381836,148.48968505859375,104.74966430664062,82.38743591308594,37.055145263671875,97.12736511230469,3.5305371284484863,22.568666458129883,28.3773136138916,51.61027145385742
2019-01-10,36.49166488647461,148.09422302246094,105.3833999633789,82.37922668457031,37.452999114990234,96.50325775146484,3.596155881881714,22.99799919128418,28.398244857788086,51.34660339355469
2019-01-11,36.133392333984375,148.87680053710938,105.41587829589844,81.98533630371094,37.66783142089844,95.758056640625,3.6852986812591553,23.150667190551758,28.36236000061035,51.11143493652344
2019-01-14,35.59005355834961,150.3829803466797,104.2215805053711,82.83055877685547,37.516639709472656,95.05943298339844,3.7251648902893066,22.293333053588867,28.39525604248047,51.04728698730469
2019-01-15,36.31846618652344,151.38426208496094,105.0990219116211,83.43777465820312,37.850830078125,97.81665802001953,3.7110517024993896,22.961999893188477,28.784027099609375,51.07579040527344
2019-01-16,36.762142181396484,165.83189392089844,104.02658081054688,84.11067962646484,37.333641052246094,98.16132354736328,3.685546398162842,23.06999969482422,28.813934326171875,51.05440902709961
2019-01-17,36.98044204711914,167.523193359375,104.87966918945312,84.45531463623047,37.445037841796875,98.85062408447266,3.7568604946136475,23.15399932861328,28.930564880371094,51.40361404418945
2019-01-18,37.208213806152344,170.42617797851562,106.17959594726562,85.8257064819336,37.882667541503906,100.33168029785156,3.885868549346924,20.150667190551758,29.22663116455078,52.016502380371094
2019-01-22,36.37303161621094,166.33677673339844,104.64405059814453,84.47173309326172,37.97018814086914,98.44078063964844,3.6838130950927734,19.92799949645996,29.154855728149414,51.23257827758789
2019-01-23,36.520137786865234,165.68040466308594,104.64405059814453,84.25838470458984,38.40781784057617,99.40022277832031,3.6966888904571533,19.172666549682617,29.51970672607422,50.8121337890625
2019-01-24,36.23067092895508,166.437744140625,103.20601654052734,84.3075942993164,37.94632339477539,98.9251480102539,3.908402442932129,19.43400001525879,29.4150333404541,50.88338088989258
2019-01-25,37.43124771118164,168.9115753173828,104.18095397949219,84.84099578857422,37.69169998168945,99.82870483398438,3.9656028747558594,19.80266761779785,28.99036979675293,51.11143493652344
2019-01-28,37.08482360839844,168.05332946777344,104.79843139648438,85.24308013916016,37.53254318237305,97.88186645507812,3.4173755645751953,19.7586669921875,29.026260375976562,50.769351959228516
2019-01-29,36.70045852661133,168.70962524414062,105.88710021972656,85.4810562133789,37.7155647277832,95.88845825195312,3.258652448654175,19.83066749572754,28.921592712402344,50.96176528930664
2019-01-30,39.208377838134766,170.3756866455078,106.95144653320312,85.67799377441406,38.08158874511719,99.09278869628906,3.4020230770111084,20.584667205810547,28.35039710998535,51.517635345458984
2019-01-31,39.490718841552734,166.61439514160156,108.1213607788086,84.93125915527344,38.296424865722656,97.27640533447266,3.5595085620880127,20.468000411987305,28.65842628479004,52.22315979003906
2019-02-01,39.50969314575195,165.3774871826172,109.03131866455078,85.24308013916016,38.749961853027344,95.73941802978516,3.5837743282318115,20.81399917602539,28.069286346435547,54.10456848144531
2019-02-04,40.63197326660156,166.3704071044922,107.9588851928711,85.5467300415039,39.18759536743164,98.49667358398438,3.693964719772339,20.859333038330078,28.3414249420166,53.320655822753906
2019-02-05,41.32716751098633,166.61439514160156,107.9588851928711,85.16922760009766,39.1955451965332,99.87527465820312,3.713031530380249,21.42333221435547,28.58963966369629,53.869380950927734
2019-02-06,41.34140396118164,165.44483947753906,108.05635070800781,85.12821960449219,39.1955451965332,98.76679229736328,3.788555860519409,21.148000717163086,28.601600646972656,53.63422775268555
2019-02-07,40.55841064453125,162.45773315429688,107.28451538085938,84.01219940185547,39.32286834716797,98.05886840820312,3.6503849029541016,20.500667572021484,28.927574157714844,53.220882415771484
2019-02-08,40.606082916259766,161.27969360351562,107.5688705444336,83.17520141601562,39.38650894165039,98.43145751953125,3.6689553260803223,20.386667251586914,28.58366584777832,53.30734634399414
2019-02-11,40.37255859375,160.99363708496094,107.24391174316406,82.78130340576172,39.47404861450195,98.04022979736328,3.6263656616210938,20.856000900268555,28.769073486328125,53.39381790161133
2019-02-12,40.72045135498047,163.65257263183594,108.9988021850586,84.19273376464844,39.51381301879883,99.56787872314453,3.743241548538208,20.78733253479004,28.999345779418945,54.330535888671875
2019-02-13,40.5512809753418,163.82081604003906,109.23441314697266,84.5948257446289,39.617271423339844,99.49335479736328,3.7855846881866455,20.544666290283203,29.289424896240234,54.943016052246094
2019-02-14,40.699005126953125,162.00331115722656,109.12068176269531,84.0450210571289,36.27538299560547,99.57722473144531,3.8264410495758057,20.251333236694336,29.462881088256836,54.95743179321289
